2016-01-24 00:31:05,848 : INFO : categ=yelp, ftype=LIWC, index=24, rmse=0.1076245381, rho=0.2443640401, pval=0.0000000000, mse=0.0115830412, mae=0.0807740061, pre_logfit=-12.6677608267, base_logfit=-12.2811961677
2016-01-24 00:33:07,142 : INFO : categ=yelp, ftype=INQUIRER, index=24, rmse=0.1077657338, rho=0.2534889742, pval=0.0000000000, mse=0.0116134534, mae=0.0806072191, pre_logfit=-12.6687645177, base_logfit=-12.2811961677
2016-01-24 00:33:55,246 : INFO : categ=yelp, ftype=GALC, index=24, rmse=0.1105470308, rho=0.1109761914, pval=0.0000000000, mse=0.0122206460, mae=0.0825324808, pre_logfit=-12.6897697456, base_logfit=-12.2811961677
2016-01-24 00:33:56,284 : INFO : categ=yelp, ftype=ConfAll, index=24, rmse=0.1079917934, rho=0.2414146645, pval=0.0000000000, mse=0.0116622274, mae=0.0808353074, pre_logfit=-12.6704271779, base_logfit=-12.2811961677
2016-01-24 00:34:50,625 : INFO : categ=yelp, ftype=LIWC, index=25, rmse=0.1056608323, rho=0.2455408030, pval=0.0000000000, mse=0.0111642115, mae=0.0793276443, pre_logfit=-12.5575084487, base_logfit=-12.1849870198
2016-01-24 00:36:53,368 : INFO : categ=yelp, ftype=INQUIRER, index=25, rmse=0.1056971711, rho=0.2616937958, pval=0.0000000000, mse=0.0111718920, mae=0.0790621193, pre_logfit=-12.5568377353, base_logfit=-12.1849870198
2016-01-24 00:37:43,225 : INFO : categ=yelp, ftype=GALC, index=25, rmse=0.1087754788, rho=0.1038948917, pval=0.0000000000, mse=0.0118321048, mae=0.0809535477, pre_logfit=-12.5810062608, base_logfit=-12.1849870198
2016-01-24 00:37:44,265 : INFO : categ=yelp, ftype=ConfAll, index=25, rmse=0.1060801310, rho=0.2415629485, pval=0.0000000000, mse=0.0112529942, mae=0.0793649679, pre_logfit=-12.5601906283, base_logfit=-12.1849870198
2016-01-24 00:38:39,135 : INFO : categ=yelp, ftype=LIWC, index=26, rmse=0.1052471810, rho=0.2400401725, pval=0.0000000000, mse=0.0110769691, mae=0.0789886283, pre_logfit=-12.6408002376, base_logfit=-12.2675526118
2016-01-24 00:40:42,388 : INFO : categ=yelp, ftype=INQUIRER, index=26, rmse=0.1050093492, rho=0.2540792343, pval=0.0000000000, mse=0.0110269634, mae=0.0786966333, pre_logfit=-12.6399567132, base_logfit=-12.2675526118
2016-01-24 00:41:31,091 : INFO : categ=yelp, ftype=GALC, index=26, rmse=0.1081450226, rho=0.1046505261, pval=0.0000000000, mse=0.0116953459, mae=0.0806862883, pre_logfit=-12.6614765483, base_logfit=-12.2675526118
2016-01-24 00:41:32,132 : INFO : categ=yelp, ftype=ConfAll, index=26, rmse=0.1056241382, rho=0.2307867365, pval=0.0000000000, mse=0.0111564586, mae=0.0791112190, pre_logfit=-12.6435413312, base_logfit=-12.2675526118
2016-01-24 00:42:28,010 : INFO : categ=yelp, ftype=LIWC, index=27, rmse=0.1057530245, rho=0.2207770270, pval=0.0000000000, mse=0.0111837022, mae=0.0794762189, pre_logfit=-12.6100981160, base_logfit=-12.2331221220
2016-01-24 00:44:30,728 : INFO : categ=yelp, ftype=INQUIRER, index=27, rmse=0.1057515822, rho=0.2404322892, pval=0.0000000000, mse=0.0111833971, mae=0.0792741580, pre_logfit=-12.6102503270, base_logfit=-12.2331221220
2016-01-24 00:45:19,385 : INFO : categ=yelp, ftype=GALC, index=27, rmse=0.1086273570, rho=0.1002171933, pval=0.0000000000, mse=0.0117999027, mae=0.0811661083, pre_logfit=-12.6331319208, base_logfit=-12.2331221220
2016-01-24 00:45:20,419 : INFO : categ=yelp, ftype=ConfAll, index=27, rmse=0.1060836696, rho=0.2181391173, pval=0.0000000000, mse=0.0112537449, mae=0.0796012726, pre_logfit=-12.6134543039, base_logfit=-12.2331221220
2016-01-24 00:46:14,745 : INFO : categ=yelp, ftype=LIWC, index=28, rmse=0.1085593143, rho=0.2390688251, pval=0.0000000000, mse=0.0117851247, mae=0.0811363887, pre_logfit=-12.6233762173, base_logfit=-12.2334014809
2016-01-24 00:48:16,360 : INFO : categ=yelp, ftype=INQUIRER, index=28, rmse=0.1084211915, rho=0.2587675036, pval=0.0000000000, mse=0.0117551548, mae=0.0808628527, pre_logfit=-12.6229902676, base_logfit=-12.2334014809
2016-01-24 00:49:04,562 : INFO : categ=yelp, ftype=GALC, index=28, rmse=0.1114778407, rho=0.1093386183, pval=0.0000000000, mse=0.0124273090, mae=0.0831236108, pre_logfit=-12.6458362145, base_logfit=-12.2334014809
2016-01-24 00:49:05,602 : INFO : categ=yelp, ftype=ConfAll, index=28, rmse=0.1089773482, rho=0.2367622121, pval=0.0000000000, mse=0.0118760624, mae=0.0813915422, pre_logfit=-12.6265868175, base_logfit=-12.2334014809
